,year,title_status,drive,condition
3371,2013.0,0,0,2
3372,2009.0,0,1,2
3373,2007.0,0,0,2
3377,2004.0,0,1,2
3381,2013.0,0,0,2
3390,2010.0,0,0,2
3392,2012.0,0,1,0
3397,2014.0,0,1,0
3419,2006.0,0,0,2
3427,2010.0,0,0,2
3429,2010.0,0,0,0
3430,2016.0,0,0,0
3435,2006.0,0,0,0
3437,2013.0,0,0,0
3440,2007.0,0,1,0
3442,2009.0,0,0,2
3444,2011.0,0,0,0
3446,2012.0,0,0,0
3455,2010.0,0,0,2
3458,2012.0,0,0,2
3459,2013.0,0,0,2
3461,2012.0,0,0,2
3462,2013.0,0,0,2
3463,2013.0,0,0,2
3464,2002.0,0,0,2
3465,2013.0,0,0,2
3466,2012.0,0,0,2
3467,2014.0,0,0,2
3471,2013.0,0,0,2
3493,2007.0,0,0,2
3504,2006.0,0,0,0
3577,2008.0,0,0,2
3606,2005.0,0,0,0
3608,2012.0,3,0,2
3616,2013.0,3,0,2
3618,2016.0,3,0,2
3620,2014.0,3,0,2
3621,2015.0,3,0,2
3622,2013.0,3,0,2
3623,2016.0,3,0,2
3626,2010.0,3,1,2
3627,2015.0,3,0,2
3634,2008.0,0,1,1
3638,2016.0,0,0,0
3645,2008.0,0,0,1
3650,1997.0,0,1,0
3652,2004.0,0,1,2
3671,2004.0,0,2,0
3677,2002.0,0,1,0
3678,2010.0,0,1,2
3682,2008.0,0,1,2
3683,1991.0,0,2,0
3689,2007.0,0,1,0
3696,2015.0,0,1,2
3704,2017.0,0,2,0
3714,2016.0,0,2,0
3717,2009.0,0,1,2
3720,2004.0,0,1,0
3755,2012.0,0,1,0
3758,2016.0,0,0,0
3759,2014.0,1,0,2
3762,2019.0,0,0,0
3779,1995.0,0,1,1
3791,2016.0,0,0,3
3792,2001.0,0,1,2
3794,2004.0,0,0,2
3796,2003.0,0,0,2
3797,2016.0,0,0,3
3803,2014.0,0,1,3
3815,2001.0,0,1,2
3834,2002.0,0,1,0
3837,2011.0,0,0,3
3858,2008.0,0,0,0
3859,2010.0,0,0,0
3874,2008.0,0,1,0
3886,2009.0,0,1,2
3889,2006.0,0,1,2
3892,2006.0,0,1,2
3893,2007.0,0,0,0
3900,2000.0,0,0,2
3903,2016.0,0,0,0
3925,2009.0,0,1,0
3951,2010.0,0,0,0
4002,2010.0,0,0,0
4005,2009.0,0,1,2
4006,2006.0,0,0,0
4020,2011.0,0,0,0
4034,1988.0,0,2,0
4036,2003.0,0,0,0
4042,2011.0,0,0,2
4043,2005.0,0,1,0
4045,2005.0,0,1,0
4046,2009.0,0,0,0
4048,2010.0,0,1,0
4092,1997.0,0,1,0
4099,2009.0,0,0,2
4102,2008.0,0,1,0
4103,2003.0,0,0,0
4104,2000.0,0,1,0
4117,2012.0,0,1,0
4131,2010.0,0,1,3
4168,2007.0,0,1,2
4174,2006.0,0,2,1
4197,2011.0,0,0,2
4221,2003.0,0,2,0
4229,2011.0,0,0,0
4238,2001.0,4,0,5
4242,2009.0,0,1,0
4250,2011.0,0,0,0
4267,2015.0,0,1,3
4274,2014.0,0,0,0
4279,2004.0,0,1,0
4280,1993.0,0,0,2
4284,2012.0,0,1,0
4289,2008.0,0,1,0
4292,2007.0,0,1,0
4294,2010.0,0,0,0
4296,2008.0,0,1,0
4301,2007.0,0,1,0
4302,2013.0,0,1,0
4310,2002.0,0,1,0
4322,2010.0,0,2,0
4325,2005.0,4,1,1
4327,2004.0,0,0,0
4338,2009.0,0,1,2
4342,2009.0,0,1,0
4343,2006.0,0,1,2
4347,2006.0,0,1,2
4367,2010.0,0,0,0
4381,2016.0,0,0,0
4385,2011.0,0,0,0
4397,2010.0,0,0,0
4400,1999.0,0,0,1
4404,2013.0,1,0,0
4416,1979.0,0,2,2
4427,2010.0,0,0,0
4439,2012.0,0,0,0
